jobPosition,companyName,jobLocation,Category,subCategory,detailsLink
Game Developer,Gamecrio Studios Pvt Ltd,"Ahmedabad, Gujarat, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746462593/?eBP=CwEAAAF8d4CVSrORCWrTO9s5HKxscfotCrrUtLEQ4GfY6RX1I0i0_9-_PKMb-jFcftYPu7ZnwZwjiKnYyAcHRCxvCu8LQ4E0hkm1iQo6TuJoT6l-NJ4Q1onsLFvf5oSHo5sa_34kRnMMZpIrivvRznmZWgOQc10YGdH6cHEi-BBCib-Cvor_gI6_ecNHSzCpyuxlCJ3E_FAkM219Xna13ySe1RHAyTn1h3fdqrqMd6FJNhXk1BXOa_-BGxghaTE4uxvOny5KIFNCKTr4Kb1V6tzhs_5DKtsr6SqEk0AaSSdAiD7zPa1PW9IwX4CCqbzaQiumzBSv6O30A2k1b4GSzRyzTUdULlSlfsT0_XI6dLtq6jE1E4tVFWdaRqOuWQ3y4mm3xYID0Ky3KqA75FaF1Ad2dPhfCHlY&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=1h7vtuWGocOQNwfBLxiJcA%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Designer,DYNAMICNEXT,"Kochi, Kerala, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2709515044/?eBP=CwEAAAF8d4CVSu-UhC-keiI8J0RBqjaJWyM8Txa3Mw76UpTezZKsrv_HJe8O3xoBxgQsJ1pJe11yRf7mXcSxEnfYmPAxR9rR1mmCQkLRrEQ9pnC_NFSCslxqSkH3eXjUn4P5IVE6BmPAuKXZW03sC5X64UDi73qKqIpDDXOfvAosMIuL5Vt_TGBMEZ901PEazlXBIsIyvYcVlERqOgkxZKN0H9Ew1W64AZsHbrNo6G4PMx62LXSkkYLGR-0C_IFSnv_dqdoaYKUPRdb3WyizXpFQE-Li4fPGtouu7-I2FTiWDg1-X51sIG2xG_Rz8WbP8pelsNL7ZOvsNgo9vIbebSlifY8jgdmaNrVBCoecW98VgbC9Y0l4ZkdH98d1G7LsWP4X17cT1cav7NULXHBz91KJ8MZ7vxXF&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=mHPndl5OaSYeTG%2F1AEzvvw%3D%3D&trk=flagship3_search_srp_jobs
Game Developer,Navin prithvi productions,"Bangalore Urban, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2743917954/?eBP=CwEAAAF8d4CVShPyIo0PUjOxOiaB5LJj-MaQKBrwhUDV433YhJhJ0eN1_PaHGtxD_svHau8lmFGoRadS18XAV5HHBQeqxEEnjCXj6qR6SDb4XGAgoxtjU6RoptK0u7tU-AepBZDTdoxE9-Z37gp91DDpZ-ti_pXEByDlOVA-iPjyyuQ3PdzSCKOojXNI7eipdN2MAdT6XQH4zBan3FUF3IEMn4i77tFrABl8ahEcZGDm0fXP81ry9n4078fV40ybdeRxA6Y12qRDCVAxYffVrpvvHfvrV1axP22V-8_5gLemSm9cj3LPOMI_bd9tBCpJ6OtEOYCuIzT5HmwP_Rq9MPDISu_Q93k-ZUUOX1BS362oIt-VMJabSFx-Q3eRdctwgxdCz_h63tRItTUrGTD5cq386VmdTzDC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=Ye0aaUEorz3P5kAc5UGDPQ%3D%3D&trk=flagship3_search_srp_jobs
Unity3D Game Developer(Multiplayer),LeagueX Gaming Private Limited,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2708699717/?eBP=CwEAAAF8d4CVSiUav9FnBpB64QQlQi6-PTstF6ansHtZZUt28M7SUTVwNs4i_EC3WjRU8zUBLV28B_erEl5ObSI6mH0TPm1ZLjVzsGtTfVsJIrF7zVK05YB7m3_tRa-U_mP8tn3Gmj8Qs1AS3owdtzgaG-6eNmQ2vchhcRsCaBPLyuhEDzy-0v8HUrKhyCVA0tuSbVmx8jA_1dhS-CGIa8DChCvu38fyJCFQfr5fY9glXtjc0W-XyFqohvDSAVafIsGIUPihYYAIN7zBw5Y0T3ZHWltax_NvskP_rQyG4h0Uj82wR1UTkudHG5baRkBqN0Gfm7atgE6opGRDEx6mlUt4XgLgYibybG1qq-jXNYTcaTAoCG8jq0ngdlZY4O9KogmbP6NzdRfdNKuSsW6DTFW6XS-KscHa&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=mxVYknq2Lio4gxdShaZNpw%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Designer,Zynga,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2748402608/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=4W5EeXG8uXOVQf6kyfLIpg%3D%3D&trk=flagship3_search_srp_jobs
Game Developer - Fresher & Experianced,Mannadiar Media Pvt. Ltd.,"Palghat, Kerala, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2748418164/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=8g4nctyhuDJM23y4uYePNQ%3D%3D&trk=flagship3_search_srp_jobs
Game Developer,Practically,"Hyderabad, Telangana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2673452441/?eBP=CwEAAAF8d4CVSncpRDIqM3uPInvmPcRSy8d8irymjIiKymG2ekGULbZroJd63w5KjF1H_NsvMSaRZSA59w-nBfW0TvgeeS_4jyqOuE0w8kq30jeP7GLLo66UqcHZR6udjV3sikMJzL6UnLNy9aRE7-1y58w2N8ZiMKHGOeucXJP779nlMoVjX6GNRIYuJODl41BQ498PDjjVKkkiedM42QCpHzJWzHy32A7x1zhcj_ESY_ChsR_youJjSg4_i0kGpRjnE9QOZfou37RScc-THwYVlzO3gC6vnZ74hdpBTqQIpJzxn2vXKvaYomUMKgB3ZOjDZxk8Z9awcQznCHq-4WtTvgJp8dQLvc7TK-PbfUN-I4vVRNnVQylnH2CA5vxO0PP6P0N7_W_3xN8fj66ifpxWax9c5-0r&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=OmGmMjYgIqYNyCH9QDBylg%3D%3D&trk=flagship3_search_srp_jobs
Game Developer (Unreal Engine),Masala Games Private Limited,"Ahmedabad, Gujarat, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2706675945/?eBP=CwEAAAF8d4CVSkM_uNipCe47fJ-FxXm8MjPTw798PCk1iRmEhEh4m-yBEDb5twbBThDAo_gEXh17Ibkm3thp-swWWyV4BHh6d5uzwatC5GXu8uAR4to83BaKOVBFCBov2Rr75gIFUNAqmCvm4e43MQyyB2859KtwBZ-akgtYi9lqZemydlKGn6lvFz0aq1yTr1mLi2lrqEuMASv67oeeMQ1gyylK8UCxXDCcuHA7TG6HxaJhrnDEla9eC9PwjUokHphGLuL7CxPbPy-h3cJrlrg7eCglGPYMgFxvzmgVc38QwjggP86ND_FiagFl5rsg_5R8myMq5vJq367OMSHsDCEoDBSVZLZ9jm0DvRmTu07vNvZvt-SDpbzeM5fo2WBSskS3qsnMg956A1Ys-7qKvnZ0wUKHko_I&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=KUsJ9j2g8OgPSUwSMEYC%2Fg%3D%3D&trk=flagship3_search_srp_jobs
Game Designer,Zynga,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2745688288/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=ool74MqRsXRBR%2FNpFmS%2BtQ%3D%3D&trk=flagship3_search_srp_jobs
DTP / Typographical Designer,BlueRose Publishers Pvt. Ltd.,"Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2753387742/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=t2xHRnhWx4PtJeop92lPSg%3D%3D&trk=flagship3_search_srp_jobs
Sr Game Designer,Aristocrat,"Gurgaon, Haryana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746555200/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=QJQLZNt2PgWmdRuDi4piZg%3D%3D&trk=flagship3_search_srp_jobs
Visual Identity SCORE reviewer 1,EY,"Gurugram, Haryana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746694845/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=ghNnaqzdCf3mjdNskSMhtA%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Designer,Zynga,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2745686735/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=rZ8JqjqyM90awSBsgbHicg%3D%3D&trk=flagship3_search_srp_jobs
Game Engine Software Developer,Machani Group,"Bangalore Urban, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746681059/?eBP=CwEAAAF8d4CVSvplVrPMGh4IA3xoJ_Uxyi9289ld7lu7KLtw3IPMY-0bBVtVXTw_6TOozObitAwN2U7reuN5LiOkYqPX5WMnRP8JQwoKJo0CKRkYVmoUUsWcV-JRqQI90d5fsk2pGj1YI9x5590R0iwGY6bpznrziC2UHIuZtKYXWdcpUufvCDIw0Ryab5IsrefFp312au21-HHwnghm_CUiddkZzeIfqi2tHmiHQnG_g4nQ8n5hcjo0QB5m8XNaFTCiYGqloeUp3-P3SyZsNYLE3lywGniWG-tj4QC_kP4oMzXGr_vhCO6bEC1RBkuNqBEihoX9PKjYSPZqLghq_6woE0JRoOfnnUNVBZyfpqSlRA&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=m%2F6aElR9A%2BVz7cnHqoa5hg%3D%3D&trk=flagship3_search_srp_jobs
Game Designer,OneFitPlus,"Hyderabad, Telangana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2693603686/?eBP=CwEAAAF8d4CVSpVjjY--v8sLorNEqoGcSPJDGoHkavPsb_mtQnAb4LouZhoHABkPMq_UmH9RNPcQAuYRtOp2U4kqsNydo6kNF_ntGONkzgOoq3ra5DtAU0qu3wEDN6PfmwEdixyZvBJe9Qg1EjyJ3ieKlLE2LAPy6rDbMU8vn2pm7xApumf_iUKtfyb3J5QAQEjVyFqIuPXXQXOUUL1SUSca5Fi2DX8bPp_EqRzmbcWC1GCIO5zGZwxU-7pMP3jdStd731T2ZUysKciZOXoSVMuOGmDR8XELOo18CFKSdPQQk5lbKg8GrYXYNiFZy9du6CE7vF1RLphxdkAKRvwyh4DfKikvqFMLccFBM3RiHUPUnZnB1xezlw0&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=VJ6YbJzHlJvDKW3yVZG67w%3D%3D&trk=flagship3_search_srp_jobs
Content Writer & Social Media Designer,Writeen,"Surat, Gujarat, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2747326539/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=j3%2F97%2B1dXWZrBmt3%2FZcqmg%3D%3D&trk=flagship3_search_srp_jobs
Associate Game Designer,Reliance Games,"Pune, Maharashtra, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2729439596/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=xcbBCNXB6Gtd6IWe576SNQ%3D%3D&trk=flagship3_search_srp_jobs
LOGO DESIGNER,RISHABH PIXXEL,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749998507/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=hGvANgRqT3s8tjllLu%2Biqg%3D%3D&trk=flagship3_search_srp_jobs
Game Designer,Todquest Enterprises,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746632530/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=IN8lFhApk7QGqzyljAY2jQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Designer,Serves Solution,India,Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746673632/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=yfdH%2B6ca6ywkONzAM1AKQw%3D%3D&trk=flagship3_search_srp_jobs
Game Tester (Unity),Hopscotch Health,"Mumbai, Maharashtra, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749125716/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=7pzgaOWLee8RAUTUJPh7lw%3D%3D&trk=flagship3_search_srp_jobs
Game Designer,Infocom Software Pvt. Ltd.,"Kochi, Kerala, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2753753866/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=v%2ByRgKjt1N45S2qDg4Anyg%3D%3D&trk=flagship3_search_srp_jobs
Jr. Designer & Jr. Merchant,Creative Garments Pvt. Ltd.,"Gurugram, Haryana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744629934/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=0fKrLZhntqWudzn2O3H01Q%3D%3D&trk=flagship3_search_srp_jobs
Casual Games Monetisation Designer,Kwalee,"Bangalore Urban, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744641437/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=VXlF5am%2BNKpbs8NwtGtxlg%3D%3D&trk=flagship3_search_srp_jobs
