jobPosition,companyName,jobLocation,Category,subCategory,detailsLink
SR. Game Designer,serve solution service,India,Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749992013/?eBP=JOB_SEARCH_ORGANIC&refId=VftTw4Rl4P68gWOdQM%2FxGg%3D%3D&trackingId=94lGjfxoStTn9QmdoYUyGg%3D%3D&trk=flagship3_search_srp_jobs
Graphic Designer,PeakMind.in,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749967205/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=iQwlUIi2DDJmUX7H3TNZvw%3D%3D&trk=flagship3_search_srp_jobs
Graphic Designer,India Report Card Media Pvt. Ltd,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2753388875/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=eo%2Bilooihub3f12xIr5huA%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Designer,99Games,"Udupi, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2427096750/?eBP=CwEAAAF8d4CZkubSO5KeRZ1XFHNWRDWCamO8ypPc5GXHY_Rx8IJz-a49VFEQD3tSqG-_uekbKy-z1EWEXcQgEOMbnCa9S0uEdKR0H0a_NYFiAI_r_O6XeQiLAAmeWQp6NL3YCKnlQ6o7zF1XAsZRaFLBqMSzS9xZkyC636ZJFMJEnpPCS3d8XFUIMZS3S0YktBM8kghMNMbDhme8gj12ZsJBLVSG2fUGDQvsbEoessRVt_yy6pBcdtZNrmgmuQltPV9500n3_TO0cPLh6ST7XlrIz5c2HVKcqe7QpqDS8YEeiQjMRyThKBZeRWOFKBsyQPB4PkDL6sKcDig90ae73HkS8IYEnym_bR92Vfvra7BKCNEQ3tWqWxvwKIMNiCH2V0s&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=s2Z5WvuXw3%2BdRcbhyjBL%2Fg%3D%3D&trk=flagship3_search_srp_jobs
Game Developer,Omnaya Studios,"Ahmedabad, Gujarat, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749989991/?eBP=CwEAAAF8d4CZkgz_jwGhf9uWXTJkQPHkiQtU-iSLjYXoPymxknz_6lVXT_TC31FTM3S3Osd8ZYtNb7l5GhPbwyGdSNk0-vsHXnIo4g1K28St2q2iC7o2qMyiBhOT73THY7a8mt-t_xUwlwm03XjA6jE73H8X1mENhbDPXBZklIaDYLO6VcaHHC6fKZxHIuxTFBL8rpEUt2GOyFpWNUwHJYHP-ECHvtUbNH49tTQD7riDv__IEuE71fcxAKepa29WoTR5YdDEWQg6i_kGeF6zS11qOYWq3yxlOgxrL7ANiy8QtBMgTg-NeYx2pys4Vyvptq7D9BkboVBL9SEDEcK-jiQiudwnC8ehcW_ZKsto8E8&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=4OpQLoVKQx4W%2Bp1M4JroBw%3D%3D&trk=flagship3_search_srp_jobs
Student,ONLINE WORK FROM HOME OPPORTUNITY,"Indore, Madhya Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2743920041/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=Uru1EqS7tIpKLNS4NYzdug%3D%3D&trk=flagship3_search_srp_jobs
Unity game Developer,Poize Games Pvt Ltd,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2749975940/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=ijm9PoB0IAvysCPSa01gOg%3D%3D&trk=flagship3_search_srp_jobs
Sr Game Mathematician/Designer II,Aristocrat,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744442970/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=9qAEEdztUAYuAIZtzuZHiQ%3D%3D&trk=flagship3_search_srp_jobs
Project Assistant (NEXT GENERATION SEQUENCING AND BIOINFORMATICS)),ICMR-National Institute of Research in Tribal Health,"Jabalpur, Madhya Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744713799/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=B0OAiZpWPgZK2IjzfxNWvw%3D%3D&trk=flagship3_search_srp_jobs
Game Tester,Rockstar Games,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2000060318/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=sc1ah0YbTOH%2BIFYaA8%2FPUg%3D%3D&trk=flagship3_search_srp_jobs
Game Developer,Sensussoft Software Pvt.Ltd,India,Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2721020342/?eBP=CwEAAAF8d4CZkiyOKs1HyA_conTi7bNNjP2XnBQIrBN8JXrfeNo2G4G0CA92SQ_T6OugEBb__Y-nt94NLLlYIqign85JulgXMVTpDnzwGJmzoq9iKJP3OlprDYFIwAnqU3OiwStH2zVC1QbaCKLcvc6jPTCPk7r2_lUmrOe12A2HtJHy0CXDTDu5KqvVtE7xWF01E6kRWyfG4sNmv9YcdUBPj3NEW9xDNGl6WZncoaoBv06O5byYJP15Qh2JiTQWbs6Ri_Gjugcr3512GfYqb3wQythBBcFE1OiQoB-kQh1eF8QJPJma-3cM_RcuMcl-wDyqkhwv2PkWuF1CUVfAeNdUY01QolWUt2xhLrKgSqrowZ63coeu&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=10XcSbCEKYP9KpGTS%2BvHDg%3D%3D&trk=flagship3_search_srp_jobs
Game Designer,Sumo Digital Ltd,"Pune, Maharashtra, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2740177950/?eBP=CwEAAAF8d4CZkrUq9kRmea8cITJsITWTMMuNfpabxfXZh3JFPEE6J9WyPDgInwyasgJBM0xXhpOWxut7cTsIC3XCcqtFBHmPQWD3OBLlbGpx5C2AIGlELseYBlDmeoXOTeyNLV8wE3FppZ6BJ8Z2E57mkNmD2LpWX1Byqn934kES9hnFLeeMdfIvUJICpNwkc2cdRwL7-F9_OV_yHHMN46_5LVc2zGu4oXxU12zBPflf1PfyXMag4O0dtyuT4-ybG55toB_pbUHnCmXdASmzulEDH-rc_DwB06zZNxA-HtjV4Ni_Kp8S6OzlnGo6ORNALJTCharfEKKfma0Nyy98m_IyWrawPIPbF4xW9ksiTz1etm710x3AJwgGyp77Bti7GcY&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=vpgvgWSoaj5ST3Tn9lMMAA%3D%3D&trk=flagship3_search_srp_jobs
Game Designer - 100% Remote working role,Cympl Studios,India,Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2724608054/?eBP=CwEAAAF8d4CZktzjon35hSOwv1zLzKV4MQeRFqWMdn4Eq3oznlOyf_F-A1NtxjEoFUJyHgCga0Ej0YDc9_fHA7LVeJYKFyZ5zqFOos4R3gcqvRVZp1yCxMdgRjHCpJXk4wbLDJ5eLQv8-2DrTDK8gKQ8dL2zSgQ_G6yGICnnkGLy1fC-IHZMwXh-2clC6ESdO0baSpJzXA0CFs0J7gPykUYqInoGJ3M0-AgxXMNdhp0WxdZHImWWdFIWLkqQICjgqZ9sFbyJvaMA1qB4XiAqmz-HkretGhvvKAIdiseRLoJyWFNoeCUnwYT_A4MeSIKvcxqoGAAdM8h60ykN3_H35ZivxFOYGhnTRqOjUQiJ-64DP3e6iilpfLp7PxA955OddtE&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=hxDcqMqzcyNY6w9FiigSIQ%3D%3D&trk=flagship3_search_srp_jobs
Game Backend Engineer - Node.js,AppRoarr Studios,"Delhi, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2728561699/?eBP=CwEAAAF8d4CZkhqbbo_POUAdGTLkOsW3hMzC5uCNrFbDjDsMlBk6iLSE83AVCx7sJ0rcDuCxljVGZE6jSeEY9GhlYJcDLNBJEPRdww5B7RvYRTCtxz14MDpATF5W0RuqRTYY1EI1pWjq9r71OmeP99r_hA2f3-SVkc6SeT4cB6ha3PCiLJLz7R7qzLBmrr0uryqdvLUe3e4OqCbbgqRBPC9JgYtQMczKvFQrP9Gn6sFZPqKGak-DPkiDIqcAbMmAAlVIS2QLhqvasAVmpKaUdWr_RGjx_A9zZCfp2mFXxbKNnoIgQFYVWQCnzNmHR-KUPMu72Ak__ADxuRquuFtsAF8fxRhs-teNapPFMlgXzutAsSH0NkKG&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=H4nszaC5XEhK2EFOsjsTpg%3D%3D&trk=flagship3_search_srp_jobs
Senior Game Developer,Lucid Labs Pvt. Ltd.,India,Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2708897495/?eBP=CwEAAAF8d4CZkqjfBhyCXfHJICmRyAm_gftVv_54ELSY5NYwJqg1jXnkVu2PwURV6-ZlGV0YxG9ILnd38eYch7OZ0-Oy16t09-4lUDaa5dcu-oNpdFmhYq02H8-4RH2eLJgPkY00C9cbBSmoW5A48XbqZZ-w0Mvw9mSOOA03pyPv0UaBl6OWE5LnSS035rTvGuVXr_EKKKZPXkLiQrlNV3NMD9vbA0V5Xd3s0SqXXEu4LdoCZ_fGGHUAtinIWeXhfwItfZlSmU1VrN0POBAMdKL9IIyn_F8CBEy1HtvNtfrj0cOAHSxQqqe2F3h56_5VC_fQ9V5fr3MDG9-6ltf98AubZcRz4SrSZt-pzNiAfnlBnNV7T04Jaxb602XTAY8Sxw4QQtV0izP9t5ckwRnARZQpqpEHSx8&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=p48uS2RYdlj2xYXW8B1ILw%3D%3D&trk=flagship3_search_srp_jobs
Student,NGE Club,"New Delhi, Delhi, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2743617080/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=xa5NUC8Pk8awnaCf0fWe4g%3D%3D&trk=flagship3_search_srp_jobs
Game Mathematician - I,Aristocrat,"Gurgaon, Haryana, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2743020112/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=kFfbso44961b2VQk5ulYWg%3D%3D&trk=flagship3_search_srp_jobs
Work for student,Delhi Public School - R. K. Puram,"New Delhi, Delhi, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2739610745/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=TzkZ9yybYti7%2FnfUJFE05A%3D%3D&trk=flagship3_search_srp_jobs
Work from anywhere (students),Online work,"Varanasi, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2719656284/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=2gKPllWBrZ9InKyMIx8plg%3D%3D&trk=flagship3_search_srp_jobs
Sr Game Mathematician/Designer II,Aristocrat,"Noida, Uttar Pradesh, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2725102904/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=6zOvx9HnG8Dl9K0nCjvLrg%3D%3D&trk=flagship3_search_srp_jobs
Graphic Designer,Unison Education Foundation,"Dehra Dun, Uttarakhand, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2747729486/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=JhwVJjhRX6TGj2Lg9vzq5A%3D%3D&trk=flagship3_search_srp_jobs
Graphic Designer_Powerpoint Specialist_Staff 2 1,EY,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2744645964/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=EhMlE8qEfxu5DVx1BYEENw%3D%3D&trk=flagship3_search_srp_jobs
Senior Officer - Design(kidswear),Myntra,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2740102397/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=mCCbmAwb1YS8Au16yLuW9Q%3D%3D&trk=flagship3_search_srp_jobs
Student Intern,LEARNOVATE ECOMMERCE,India,Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2738903084/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=zY3TbwsARCbGg%2B6WhB0zoQ%3D%3D&trk=flagship3_search_srp_jobs
Graphic Designer,Adinath Holidays,"Pimpri Chinchwad, Maharashtra, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2750327849/?eBP=JOB_SEARCH_ORGANIC&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=8x8O4dBzKwHyLh211JFEzg%3D%3D&trk=flagship3_search_srp_jobs
Graphics Designer â€“ Purchase to Pay (Graphics & Art Design Professional),Siemens Technology India,"Bengaluru, Karnataka, India",Information Technology / Software,Game Designer ,https://www.linkedin.com/jobs/view/2746658346/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=%2BWscRhA2mLo7R3AyEfA1%2FA%3D%3D&trackingId=jZ1FP%2FxnERg91qbZyqXdxw%3D%3D&trk=flagship3_search_srp_jobs
